tis1099_district_code,parent_province_tis1099_code,name_en,name_th,centroid_lat,centroid_lon,area_km2,bbox_minlat,bbox_minlon,bbox_maxlat,bbox_maxlon,num_tambon,postal_code_prefixes,notes
8101,81,Mueang Krabi,เมืองกระบี่,8.15773,98.86808,705.2,8.00172,98.72578,8.2936,99.01596,10,8100,
8102,81,Khao Phanom,เขาพนม,8.27955,99.12101,872.7,8.11308,98.90758,8.45718,99.33103,6,8024|8114,
8103,81,Ko Lanta,เกาะลันตา,7.69871,99.07372,257.1,7.49656,99.01824,7.85426,99.13719,5,8112|8115,
8104,81,Khlong Thom,คลองท่อม,7.92313,99.20114,1057.6,7.65736,99.06385,8.17841,99.33377,7,8112|8117,
8105,81,Ao Luek,อ่าวลึก,8.38154,98.76465,659.6,8.24673,98.62753,8.55086,98.92648,9,8111,
8106,81,Plai Phraya,ปลายพระยา,8.55206,98.82927,537.8,8.42064,98.68225,8.68134,98.94103,4,8116,
8107,81,Lam Thap,ลำทับ,8.04415,99.33589,260.0,7.92879,99.23771,8.13207,99.41497,4,8112,
8108,81,Nuea Khlong,เหนือคลอง,8.05026,99.04029,480.7,7.87551,98.94277,8.23089,99.15919,8,8113,
8201,82,Mueang Phang-Nga,เมืองพังงา,8.50444,98.50248,504.9,8.33978,98.36792,8.66082,98.61565,9,8200,
8202,82,Ko Yao,เกาะยาว,8.07435,98.59067,72.4,7.94519,98.53003,8.18633,98.63567,3,8216|8300,
8203,82,Kapong,กะปง,8.73903,98.47029,593.9,8.6027,98.32678,8.89526,98.59871,5,8217,
8204,82,Takua Thung,ตะกั่วทุ่ง,8.29422,98.39355,509.3,8.12675,98.26907,8.4556,98.49356,7,8213|8214,
8205,82,Takua Pa,ตะกั่วป่า,8.82959,98.33085,575.2,8.61656,98.23437,9.0151,98.446,8,8211|8219,
8206,82,Khura Buri,คุระบุรี,9.14296,98.40577,729.0,8.94522,98.24699,9.33219,98.525,4,8215,
8207,82,Thap Put,ทับปุด,8.52359,98.62538,271.4,8.37537,98.54866,8.63198,98.70344,6,8218,
8208,82,Thai Mueang,ท้ายเหมือง,8.49726,98.31193,605.1,8.30809,98.20519,8.65278,98.42503,6,8212,
8301,83,Mueang Phuket,เมืองภูเก็ต,7.87201,98.35453,160.7,7.76338,98.27514,7.96559,98.4407,8,8300|8310|8313,
8302,83,Kathu,กะทู้,7.92068,98.31242,70.7,7.87433,98.27514,7.97032,98.36824,3,8312|8315,
8303,83,Thalang,ถลาง,8.04777,98.34101,287.3,7.94407,98.27634,8.19995,98.43634,6,8311,
8401,84,Mueang Surat Thani,เมืองสุราษฎร์ธานี,9.10661,99.32538,336.5,8.96033,99.22121,9.24397,99.38907,11,8400|8410,
8402,84,Kanchanadit,กาญจนดิษฐ์,9.06584,99.54271,1103.0,8.8777,99.38103,9.28618,99.74209,13,8416|8429,
8403,84,Don Sak,ดอนสัก,9.20814,99.69099,404.5,9.02972,99.5741,9.33254,99.77177,4,8416|8422|8434,
8404,84,Ko Samui,เกาะสมุย,9.51345,99.9946,252.7,9.42411,99.91518,9.59352,100.09059,7,8414|8431|8432|8433,
8405,84,Ko Pha-Ngan,เกาะพะงัน,9.73895,100.02554,116.4,9.66638,99.96712,9.80398,100.08098,3,8428,
8406,84,Chaiya,ไชยา,9.44498,99.06495,736.3,9.33808,98.80919,9.55512,99.30159,9,8411,
8407,84,Tha Chana,ท่าชนะ,9.60424,98.98614,958.9,9.46311,98.73964,9.72919,99.23459,6,8417,
8408,84,Khiri Rat Nikhom,คีรีรัฐนิคม,9.01416,98.94621,804.3,8.78437,98.77099,9.20472,99.08203,8,8418,
8409,84,Ban Ta Khun,บ้านตาขุน,9.09917,98.66715,1498.2,8.87198,98.47516,9.36117,98.94456,4,8423,
8410,84,Phanom,พนม,8.79985,98.7005,1225.4,8.62569,98.4431,8.98312,98.92024,6,8425,
8411,84,Tha Chang,ท่าฉาง,9.34122,98.94061,1085.2,9.18925,98.66813,9.53674,99.23962,6,8415,
